"group";"ISOweek";"deaths"
"65to74";"2014-W28";218
"65to74";"2014-W29";197
"65to74";"2014-W30";198
"65to74";"2014-W31";198
"65to74";"2014-W32";193
"65to74";"2014-W33";206
"65to74";"2014-W34";197
"65to74";"2014-W35";210
"65to74";"2014-W36";232
"65to74";"2014-W37";197
"65to74";"2014-W38";218
"65to74";"2014-W39";213
"65to74";"2014-W40";201
"65to74";"2014-W41";218
"65to74";"2014-W42";210
"65to74";"2014-W43";212
"65to74";"2014-W44";189
"65to74";"2014-W45";210
"65to74";"2014-W46";211
"65to74";"2014-W47";222
"65to74";"2014-W48";230
"65to74";"2014-W49";227
"65to74";"2014-W50";230
"65to74";"2014-W51";227
"65to74";"2014-W52";220
"65to74";"2015-W01";221
"65to74";"2015-W02";230
"65to74";"2015-W03";247
"65to74";"2015-W04";208
"65to74";"2015-W05";238
"65to74";"2015-W06";257
"65to74";"2015-W07";241
"65to74";"2015-W08";248
"65to74";"2015-W09";241
"65to74";"2015-W10";254
"65to74";"2015-W11";245
"65to74";"2015-W12";202
"65to74";"2015-W13";227
"65to74";"2015-W14";227
"65to74";"2015-W15";223
"65to74";"2015-W16";227
"65to74";"2015-W17";220
"65to74";"2015-W18";215
"65to74";"2015-W19";226
"65to74";"2015-W20";196
"65to74";"2015-W21";242
"65to74";"2015-W22";250
"65to74";"2015-W23";210
"65to74";"2015-W24";237
"65to74";"2015-W25";209
"65to74";"2015-W26";196
"65to74";"2015-W27";223
"65to74";"2015-W28";235
"65to74";"2015-W29";198
"65to74";"2015-W30";203
"65to74";"2015-W31";222
"65to74";"2015-W32";172
"65to74";"2015-W33";219
"65to74";"2015-W34";186
"65to74";"2015-W35";199
"65to74";"2015-W36";178
"65to74";"2015-W37";193
"65to74";"2015-W38";200
"65to74";"2015-W39";227
"65to74";"2015-W40";189
"65to74";"2015-W41";205
"65to74";"2015-W42";201
"65to74";"2015-W43";216
"65to74";"2015-W44";215
"65to74";"2015-W45";233
"65to74";"2015-W46";210
"65to74";"2015-W47";227
"65to74";"2015-W48";203
"65to74";"2015-W49";230
"65to74";"2015-W50";222
"65to74";"2015-W51";231
"65to74";"2015-W52";227
"65to74";"2015-W53";206
"65to74";"2016-W01";234
"65to74";"2016-W02";234
"65to74";"2016-W03";215
"65to74";"2016-W04";251
"65to74";"2016-W05";241
"65to74";"2016-W06";227
"65to74";"2016-W07";225
"65to74";"2016-W08";259
"65to74";"2016-W09";236
"65to74";"2016-W10";249
"65to74";"2016-W11";239
"65to74";"2016-W12";229
"65to74";"2016-W13";217
"65to74";"2016-W14";226
"65to74";"2016-W15";221
"65to74";"2016-W16";206
"65to74";"2016-W17";223
"65to74";"2016-W18";229
"65to74";"2016-W19";231
"65to74";"2016-W20";224
"65to74";"2016-W21";200
"65to74";"2016-W22";218
"65to74";"2016-W23";209
"65to74";"2016-W24";205
"65to74";"2016-W25";205
"65to74";"2016-W26";212
"65to74";"2016-W27";198
"65to74";"2016-W28";205
"65to74";"2016-W29";213
"65to74";"2016-W30";197
"65to74";"2016-W31";198
"65to74";"2016-W32";185
"65to74";"2016-W33";202
"65to74";"2016-W34";225
"65to74";"2016-W35";212
"65to74";"2016-W36";207
"65to74";"2016-W37";223
"65to74";"2016-W38";200
"65to74";"2016-W39";230
"65to74";"2016-W40";197
"65to74";"2016-W41";217
"65to74";"2016-W42";238
"65to74";"2016-W43";222
"65to74";"2016-W44";198
"65to74";"2016-W45";235
"65to74";"2016-W46";221
"65to74";"2016-W47";228
"65to74";"2016-W48";225
"65to74";"2016-W49";237
"65to74";"2016-W50";230
"65to74";"2016-W51";233
"65to74";"2016-W52";238
"65to74";"2017-W01";247
"65to74";"2017-W02";207
"65to74";"2017-W03";261
"65to74";"2017-W04";261
"65to74";"2017-W05";241
"65to74";"2017-W06";257
"65to74";"2017-W07";241
"65to74";"2017-W08";240
"65to74";"2017-W09";234
"65to74";"2017-W10";234
"65to74";"2017-W11";245
"65to74";"2017-W12";245
"65to74";"2017-W13";190
"65to74";"2017-W14";210
"65to74";"2017-W15";211
"65to74";"2017-W16";196
"65to74";"2017-W17";197
"65to74";"2017-W18";240
"65to74";"2017-W19";224
"65to74";"2017-W20";217
"65to74";"2017-W21";198
"65to74";"2017-W22";205
"65to74";"2017-W23";200
"65to74";"2017-W24";243
"65to74";"2017-W25";232
"65to74";"2017-W26";199
"65to74";"2017-W27";216
"65to74";"2017-W28";210
"65to74";"2017-W29";224
"65to74";"2017-W30";212
"65to74";"2017-W31";200
"65to74";"2017-W32";224
"65to74";"2017-W33";198
"65to74";"2017-W34";205
"65to74";"2017-W35";215
"65to74";"2017-W36";189
"65to74";"2017-W37";233
"65to74";"2017-W38";222
"65to74";"2017-W39";217
"65to74";"2017-W40";222
"65to74";"2017-W41";207
"65to74";"2017-W42";220
"65to74";"2017-W43";234
"65to74";"2017-W44";195
"65to74";"2017-W45";201
"65to74";"2017-W46";247
"65to74";"2017-W47";214
"65to74";"2017-W48";218
"65to74";"2017-W49";268
"65to74";"2017-W50";212
"65to74";"2017-W51";240
"65to74";"2017-W52";226
"65to74";"2018-W01";239
"65to74";"2018-W02";196
"65to74";"2018-W03";242
"65to74";"2018-W04";218
"65to74";"2018-W05";251
"65to74";"2018-W06";228
"65to74";"2018-W07";260
"65to74";"2018-W08";260
"65to74";"2018-W09";274
"65to74";"2018-W10";279
"65to74";"2018-W11";238
"65to74";"2018-W12";245
"65to74";"2018-W13";224
"65to74";"2018-W14";248
"65to74";"2018-W15";210
"65to74";"2018-W16";221
"65to74";"2018-W17";214
"65to74";"2018-W18";197
"65to74";"2018-W19";240
"65to74";"2018-W20";234
"65to74";"2018-W21";217
"65to74";"2018-W22";203
"65to74";"2018-W23";247
"65to74";"2018-W24";204
"65to74";"2018-W25";221
"65to74";"2018-W26";211
"65to74";"2018-W27";226
"65to74";"2018-W28";213
"65to74";"2018-W29";200
"65to74";"2018-W30";222
"65to74";"2018-W31";247
"65to74";"2018-W32";223
"65to74";"2018-W33";221
"65to74";"2018-W34";208
"65to74";"2018-W35";215
"65to74";"2018-W36";217
"65to74";"2018-W37";219
"65to74";"2018-W38";246
"65to74";"2018-W39";213
"65to74";"2018-W40";230
"65to74";"2018-W41";219
"65to74";"2018-W42";221
"65to74";"2018-W43";199
"65to74";"2018-W44";220
"65to74";"2018-W45";218
"65to74";"2018-W46";202
"65to74";"2018-W47";207
"65to74";"2018-W48";222
"65to74";"2018-W49";222
"65to74";"2018-W50";215
"65to74";"2018-W51";235
"65to74";"2018-W52";238
"65to74";"2019-W01";276
"65to74";"2019-W02";244
"65to74";"2019-W03";227
"65to74";"2019-W04";236
"65to74";"2019-W05";275
"65to74";"2019-W06";273
"65to74";"2019-W07";219
"65to74";"2019-W08";271
"65to74";"2019-W09";239
"65to74";"2019-W10";237
"65to74";"2019-W11";215
"65to74";"2019-W12";222
"65to74";"2019-W13";199
"65to74";"2019-W14";233
"65to74";"2019-W15";218
"65to74";"2019-W16";212
"65to74";"2019-W17";209
"65to74";"2019-W18";224
"65to74";"2019-W19";221
"65to74";"2019-W20";227
"65to74";"2019-W21";206
"65to74";"2019-W22";199
"65to74";"2019-W23";225
"65to74";"2019-W24";217
"65to74";"2019-W25";224
"65to74";"2019-W26";248
"65to74";"2019-W27";184
"65to74";"2019-W28";188
"65to74";"2019-W29";226
"65to74";"2019-W30";200
"65to74";"2019-W31";211
"65to74";"2019-W32";225
"65to74";"2019-W33";202
"65to74";"2019-W34";191
"65to74";"2019-W35";242
"65to74";"2019-W36";214
"65to74";"2019-W37";210
"65to74";"2019-W38";197
"65to74";"2019-W39";198
"65to74";"2019-W40";212
"65to74";"2019-W41";224
"65to74";"2019-W42";215
"65to74";"2019-W43";235
"65to74";"2019-W44";209
"65to74";"2019-W45";220
"65to74";"2019-W46";195
"65to74";"2019-W47";237
"65to74";"2019-W48";243
"65to74";"2019-W49";222
"65to74";"2019-W50";223
"65to74";"2019-W51";217
"65to74";"2019-W52";216
"65to74";"2020-W01";254
"65to74";"2020-W02";222
"65to74";"2020-W03";227
"65to74";"2020-W04";218
"65to74";"2020-W05";212
"65to74";"2020-W06";210
"65to74";"2020-W07";218
"65to74";"2020-W08";224
"65to74";"2020-W09";219
"65to74";"2020-W10";210
"65to74";"2020-W11";237
"65to74";"2020-W12";225
"65to74";"2020-W13";227
"65to74";"2020-W14";247
"65to74";"2020-W15";253.8118
"65to74";"2020-W16";215.0274
"65to74";"2020-W17";230.3111
"65to74";"2020-W18";196.7953
"65to74";"2020-W19";204.7109
"65to74";"2020-W20";210.9676
"65to74";"2020-W21";211.6854
"65to74";"2020-W22";219.1998
"75to84";"2014-W15";276
"75to84";"2014-W16";274
"75to84";"2014-W17";294
"75to84";"2014-W18";289
"75to84";"2014-W19";310
"75to84";"2014-W20";265
"75to84";"2014-W21";287
"75to84";"2014-W22";245
"75to84";"2014-W23";276
"75to84";"2014-W24";284
"75to84";"2014-W25";311
"75to84";"2014-W26";271
"75to84";"2014-W27";270
"75to84";"2014-W28";292
"75to84";"2014-W29";293
"75to84";"2014-W30";293
"75to84";"2014-W31";285
"75to84";"2014-W32";289
"75to84";"2014-W33";275
"75to84";"2014-W34";275
"75to84";"2014-W35";269
"75to84";"2014-W36";276
"75to84";"2014-W37";291
"75to84";"2014-W38";284
"75to84";"2014-W39";265
"75to84";"2014-W40";267
"75to84";"2014-W41";237
"75to84";"2014-W42";290
"75to84";"2014-W43";291
"75to84";"2014-W44";288
"75to84";"2014-W45";264
"75to84";"2014-W46";283
"75to84";"2014-W47";260
"75to84";"2014-W48";292
"75to84";"2014-W49";320
"75to84";"2014-W50";302
"75to84";"2014-W51";286
"75to84";"2014-W52";317
"75to84";"2015-W01";358
"75to84";"2015-W02";319
"75to84";"2015-W03";304
"75to84";"2015-W04";303
"75to84";"2015-W05";317
"75to84";"2015-W06";317
"75to84";"2015-W07";326
"75to84";"2015-W08";325
"75to84";"2015-W09";369
"75to84";"2015-W10";352
"75to84";"2015-W11";339
"75to84";"2015-W12";323
"75to84";"2015-W13";338
"75to84";"2015-W14";296
"75to84";"2015-W15";301
"75to84";"2015-W16";292
"75to84";"2015-W17";282
"75to84";"2015-W18";291
"75to84";"2015-W19";260
"75to84";"2015-W20";282
"75to84";"2015-W21";261
"75to84";"2015-W22";263
"75to84";"2015-W23";300
"75to84";"2015-W24";299
"75to84";"2015-W25";269
"75to84";"2015-W26";265
"75to84";"2015-W27";252
"75to84";"2015-W28";258
"75to84";"2015-W29";278
"75to84";"2015-W30";263
"75to84";"2015-W31";282
"75to84";"2015-W32";293
"75to84";"2015-W33";284
"75to84";"2015-W34";277
"75to84";"2015-W35";251
"75to84";"2015-W36";271
"75to84";"2015-W37";254
"75to84";"2015-W38";277
"75to84";"2015-W39";285
"75to84";"2015-W40";297
"75to84";"2015-W41";283
"75to84";"2015-W42";280
"75to84";"2015-W43";299
"75to84";"2015-W44";297
"75to84";"2015-W45";267
"75to84";"2015-W46";283
"75to84";"2015-W47";339
"75to84";"2015-W48";327
"75to84";"2015-W49";330
"75to84";"2015-W50";303
"75to84";"2015-W51";273
"75to84";"2015-W52";306
"75to84";"2015-W53";308
"75to84";"2016-W01";301
"75to84";"2016-W02";318
"75to84";"2016-W03";316
"75to84";"2016-W04";332
"75to84";"2016-W05";306
"75to84";"2016-W06";298
"75to84";"2016-W07";312
"75to84";"2016-W08";316
"75to84";"2016-W09";335
"75to84";"2016-W10";357
"75to84";"2016-W11";344
"75to84";"2016-W12";312
"75to84";"2016-W13";350
"75to84";"2016-W14";298
"75to84";"2016-W15";290
"75to84";"2016-W16";305
"75to84";"2016-W17";277
"75to84";"2016-W18";308
"75to84";"2016-W19";313
"75to84";"2016-W20";277
"75to84";"2016-W21";312
"75to84";"2016-W22";310
"75to84";"2016-W23";261
"75to84";"2016-W24";263
"75to84";"2016-W25";301
"75to84";"2016-W26";246
"75to84";"2016-W27";276
"75to84";"2016-W28";280
"75to84";"2016-W29";276
"75to84";"2016-W30";286
"75to84";"2016-W31";274
"75to84";"2016-W32";278
"75to84";"2016-W33";279
"75to84";"2016-W34";266
"75to84";"2016-W35";283
"75to84";"2016-W36";274
"75to84";"2016-W37";291
"75to84";"2016-W38";264
"75to84";"2016-W39";269
"75to84";"2016-W40";251
"75to84";"2016-W41";322
"75to84";"2016-W42";320
"75to84";"2016-W43";298
"75to84";"2016-W44";332
"75to84";"2016-W45";281
"75to84";"2016-W46";301
"75to84";"2016-W47";312
"75to84";"2016-W48";280
"75to84";"2016-W49";294
"75to84";"2016-W50";333
"75to84";"2016-W51";306
"75to84";"2016-W52";351
"75to84";"2017-W01";324
"75to84";"2017-W02";366
"75to84";"2017-W03";317
"75to84";"2017-W04";341
"75to84";"2017-W05";361
"75to84";"2017-W06";324
"75to84";"2017-W07";378
"75to84";"2017-W08";358
"75to84";"2017-W09";343
"75to84";"2017-W10";331
"75to84";"2017-W11";356
"75to84";"2017-W12";330
"75to84";"2017-W13";324
"75to84";"2017-W14";284
"75to84";"2017-W15";308
"75to84";"2017-W16";288
"75to84";"2017-W17";285
"75to84";"2017-W18";313
"75to84";"2017-W19";303
"75to84";"2017-W20";311
"75to84";"2017-W21";282
"75to84";"2017-W22";286
"75to84";"2017-W23";298
"75to84";"2017-W24";313
"75to84";"2017-W25";289
"75to84";"2017-W26";300
"75to84";"2017-W27";278
"75to84";"2017-W28";265
"75to84";"2017-W29";272
"75to84";"2017-W30";279
"75to84";"2017-W31";286
"75to84";"2017-W32";269
"75to84";"2017-W33";270
"75to84";"2017-W34";290
"75to84";"2017-W35";280
"75to84";"2017-W36";273
"75to84";"2017-W37";326
"75to84";"2017-W38";289
"75to84";"2017-W39";309
"75to84";"2017-W40";299
"75to84";"2017-W41";306
"75to84";"2017-W42";301
"75to84";"2017-W43";290
"75to84";"2017-W44";327
"75to84";"2017-W45";295
"75to84";"2017-W46";303
"75to84";"2017-W47";329
"75to84";"2017-W48";331
"75to84";"2017-W49";303
"75to84";"2017-W50";335
"75to84";"2017-W51";318
"75to84";"2017-W52";355
"75to84";"2018-W01";345
"75to84";"2018-W02";347
"75to84";"2018-W03";367
"75to84";"2018-W04";370
"75to84";"2018-W05";353
"75to84";"2018-W06";376
"75to84";"2018-W07";373
"75to84";"2018-W08";379
"75to84";"2018-W09";408
"75to84";"2018-W10";400
"75to84";"2018-W11";398
"75to84";"2018-W12";395
"75to84";"2018-W13";383
"75to84";"2018-W14";358
"75to84";"2018-W15";379
"75to84";"2018-W16";354
"75to84";"2018-W17";326
"75to84";"2018-W18";340
"75to84";"2018-W19";292
"75to84";"2018-W20";317
"75to84";"2018-W21";275
"75to84";"2018-W22";313
"75to84";"2018-W23";315
"75to84";"2018-W24";303
"75to84";"2018-W25";285
"75to84";"2018-W26";293
"75to84";"2018-W27";284
"75to84";"2018-W28";315
"75to84";"2018-W29";312
"75to84";"2018-W30";338
"75to84";"2018-W31";347
"75to84";"2018-W32";316
"75to84";"2018-W33";301
"75to84";"2018-W34";305
"75to84";"2018-W35";279
"75to84";"2018-W36";333
"75to84";"2018-W37";291
"75to84";"2018-W38";298
"75to84";"2018-W39";299
"75to84";"2018-W40";297
"75to84";"2018-W41";301
"75to84";"2018-W42";303
"75to84";"2018-W43";329
"75to84";"2018-W44";315
"75to84";"2018-W45";300
"75to84";"2018-W46";298
"75to84";"2018-W47";329
"75to84";"2018-W48";310
"75to84";"2018-W49";349
"75to84";"2018-W50";333
"75to84";"2018-W51";355
"75to84";"2018-W52";343
"75to84";"2019-W01";324
"75to84";"2019-W02";343
"75to84";"2019-W03";376
"75to84";"2019-W04";327
"75to84";"2019-W05";359
"75to84";"2019-W06";391
"75to84";"2019-W07";373
"75to84";"2019-W08";350
"75to84";"2019-W09";326
"75to84";"2019-W10";335
"75to84";"2019-W11";360
"75to84";"2019-W12";321
"75to84";"2019-W13";324
"75to84";"2019-W14";358
"75to84";"2019-W15";335
"75to84";"2019-W16";337
"75to84";"2019-W17";316
"75to84";"2019-W18";325
"75to84";"2019-W19";337
"75to84";"2019-W20";296
"75to84";"2019-W21";332
"75to84";"2019-W22";300
"75to84";"2019-W23";322
"75to84";"2019-W24";318
"75to84";"2019-W25";307
"75to84";"2019-W26";294
"75to84";"2019-W27";311
"75to84";"2019-W28";326
"75to84";"2019-W29";281
"75to84";"2019-W30";324
"75to84";"2019-W31";316
"75to84";"2019-W32";313
"75to84";"2019-W33";279
"75to84";"2019-W34";327
"75to84";"2019-W35";296
"75to84";"2019-W36";326
"75to84";"2019-W37";297
"75to84";"2019-W38";360
"75to84";"2019-W39";310
"75to84";"2019-W40";291
"75to84";"2019-W41";333
"75to84";"2019-W42";297
"75to84";"2019-W43";322
"75to84";"2019-W44";308
"75to84";"2019-W45";329
"75to84";"2019-W46";348
"75to84";"2019-W47";347
"75to84";"2019-W48";366
"75to84";"2019-W49";401
"75to84";"2019-W50";355
"75to84";"2019-W51";342
"75to84";"2019-W52";320
"75to84";"2020-W01";325
"75to84";"2020-W02";347
"75to84";"2020-W03";342
"75to84";"2020-W04";320
"75to84";"2020-W05";347
"75to84";"2020-W06";359
"75to84";"2020-W07";334
"75to84";"2020-W08";303
"75to84";"2020-W09";312
"75to84";"2020-W10";344
"75to84";"2020-W11";341
"75to84";"2020-W12";381
"75to84";"2020-W13";362
"75to84";"2020-W14";397
"75to84";"2020-W15";387.3176
"75to84";"2020-W16";358.7597
"75to84";"2020-W17";366.8374
"75to84";"2020-W18";341.1721
"75to84";"2020-W19";333.1593
"75to84";"2020-W20";307.0508
"75to84";"2020-W21";309.632
"75to84";"2020-W22";315.0086
"85P";"2014-W15";348
"85P";"2014-W16";333
"85P";"2014-W17";353
"85P";"2014-W18";354
"85P";"2014-W19";319
"85P";"2014-W20";326
"85P";"2014-W21";354
"85P";"2014-W22";309
"85P";"2014-W23";305
"85P";"2014-W24";303
"85P";"2014-W25";305
"85P";"2014-W26";343
"85P";"2014-W27";307
"85P";"2014-W28";337
"85P";"2014-W29";335
"85P";"2014-W30";376
"85P";"2014-W31";365
"85P";"2014-W32";357
"85P";"2014-W33";351
"85P";"2014-W34";351
"85P";"2014-W35";322
"85P";"2014-W36";375
"85P";"2014-W37";344
"85P";"2014-W38";340
"85P";"2014-W39";300
"85P";"2014-W40";296
"85P";"2014-W41";303
"85P";"2014-W42";326
"85P";"2014-W43";322
"85P";"2014-W44";280
"85P";"2014-W45";325
"85P";"2014-W46";334
"85P";"2014-W47";356
"85P";"2014-W48";360
"85P";"2014-W49";397
"85P";"2014-W50";384
"85P";"2014-W51";407
"85P";"2014-W52";389
"85P";"2015-W01";408
"85P";"2015-W02";409
"85P";"2015-W03";405
"85P";"2015-W04";404
"85P";"2015-W05";388
"85P";"2015-W06";414
"85P";"2015-W07";400
"85P";"2015-W08";423
"85P";"2015-W09";442
"85P";"2015-W10";463
"85P";"2015-W11";418
"85P";"2015-W12";409
"85P";"2015-W13";396
"85P";"2015-W14";397
"85P";"2015-W15";406
"85P";"2015-W16";391
"85P";"2015-W17";332
"85P";"2015-W18";363
"85P";"2015-W19";342
"85P";"2015-W20";321
"85P";"2015-W21";353
"85P";"2015-W22";327
"85P";"2015-W23";316
"85P";"2015-W24";357
"85P";"2015-W25";335
"85P";"2015-W26";297
"85P";"2015-W27";338
"85P";"2015-W28";336
"85P";"2015-W29";333
"85P";"2015-W30";339
"85P";"2015-W31";312
"85P";"2015-W32";325
"85P";"2015-W33";321
"85P";"2015-W34";325
"85P";"2015-W35";316
"85P";"2015-W36";298
"85P";"2015-W37";319
"85P";"2015-W38";310
"85P";"2015-W39";356
"85P";"2015-W40";336
"85P";"2015-W41";307
"85P";"2015-W42";364
"85P";"2015-W43";376
"85P";"2015-W44";359
"85P";"2015-W45";331
"85P";"2015-W46";330
"85P";"2015-W47";319
"85P";"2015-W48";403
"85P";"2015-W49";370
"85P";"2015-W50";372
"85P";"2015-W51";377
"85P";"2015-W52";352
"85P";"2015-W53";346
"85P";"2016-W01";403
"85P";"2016-W02";387
"85P";"2016-W03";385
"85P";"2016-W04";387
"85P";"2016-W05";393
"85P";"2016-W06";391
"85P";"2016-W07";367
"85P";"2016-W08";405
"85P";"2016-W09";421
"85P";"2016-W10";387
"85P";"2016-W11";443
"85P";"2016-W12";405
"85P";"2016-W13";366
"85P";"2016-W14";362
"85P";"2016-W15";386
"85P";"2016-W16";374
"85P";"2016-W17";351
"85P";"2016-W18";370
"85P";"2016-W19";367
"85P";"2016-W20";326
"85P";"2016-W21";356
"85P";"2016-W22";321
"85P";"2016-W23";328
"85P";"2016-W24";357
"85P";"2016-W25";347
"85P";"2016-W26";337
"85P";"2016-W27";326
"85P";"2016-W28";292
"85P";"2016-W29";351
"85P";"2016-W30";351
"85P";"2016-W31";315
"85P";"2016-W32";342
"85P";"2016-W33";325
"85P";"2016-W34";362
"85P";"2016-W35";310
"85P";"2016-W36";343
"85P";"2016-W37";299
"85P";"2016-W38";300
"85P";"2016-W39";337
"85P";"2016-W40";322
"85P";"2016-W41";351
"85P";"2016-W42";364
"85P";"2016-W43";338
"85P";"2016-W44";352
"85P";"2016-W45";354
"85P";"2016-W46";378
"85P";"2016-W47";376
"85P";"2016-W48";374
"85P";"2016-W49";400
"85P";"2016-W50";370
"85P";"2016-W51";399
"85P";"2016-W52";422
"85P";"2017-W01";431
"85P";"2017-W02";375
"85P";"2017-W03";403
"85P";"2017-W04";399
"85P";"2017-W05";465
"85P";"2017-W06";411
"85P";"2017-W07";494
"85P";"2017-W08";469
"85P";"2017-W09";465
"85P";"2017-W10";409
"85P";"2017-W11";414
"85P";"2017-W12";422
"85P";"2017-W13";384
"85P";"2017-W14";375
"85P";"2017-W15";363
"85P";"2017-W16";350
"85P";"2017-W17";365
"85P";"2017-W18";381
"85P";"2017-W19";373
"85P";"2017-W20";366
"85P";"2017-W21";340
"85P";"2017-W22";340
"85P";"2017-W23";360
"85P";"2017-W24";354
"85P";"2017-W25";337
"85P";"2017-W26";333
"85P";"2017-W27";300
"85P";"2017-W28";341
"85P";"2017-W29";329
"85P";"2017-W30";331
"85P";"2017-W31";355
"85P";"2017-W32";343
"85P";"2017-W33";335
"85P";"2017-W34";353
"85P";"2017-W35";336
"85P";"2017-W36";339
"85P";"2017-W37";327
"85P";"2017-W38";347
"85P";"2017-W39";341
"85P";"2017-W40";350
"85P";"2017-W41";368
"85P";"2017-W42";338
"85P";"2017-W43";294
"85P";"2017-W44";329
"85P";"2017-W45";344
"85P";"2017-W46";421
"85P";"2017-W47";357
"85P";"2017-W48";369
"85P";"2017-W49";390
"85P";"2017-W50";429
"85P";"2017-W51";392
"85P";"2017-W52";437
"85P";"2018-W01";417
"85P";"2018-W02";478
"85P";"2018-W03";451
"85P";"2018-W04";396
"85P";"2018-W05";449
"85P";"2018-W06";454
"85P";"2018-W07";507
"85P";"2018-W08";494
"85P";"2018-W09";511
"85P";"2018-W10";519
"85P";"2018-W11";489
"85P";"2018-W12";485
"85P";"2018-W13";461
"85P";"2018-W14";417
"85P";"2018-W15";418
"85P";"2018-W16";368
"85P";"2018-W17";367
"85P";"2018-W18";346
"85P";"2018-W19";381
"85P";"2018-W20";349
"85P";"2018-W21";333
"85P";"2018-W22";356
"85P";"2018-W23";325
"85P";"2018-W24";354
"85P";"2018-W25";349
"85P";"2018-W26";343
"85P";"2018-W27";375
"85P";"2018-W28";345
"85P";"2018-W29";362
"85P";"2018-W30";415
"85P";"2018-W31";363
"85P";"2018-W32";370
"85P";"2018-W33";362
"85P";"2018-W34";363
"85P";"2018-W35";334
"85P";"2018-W36";335
"85P";"2018-W37";333
"85P";"2018-W38";358
"85P";"2018-W39";349
"85P";"2018-W40";395
"85P";"2018-W41";377
"85P";"2018-W42";313
"85P";"2018-W43";343
"85P";"2018-W44";375
"85P";"2018-W45";358
"85P";"2018-W46";348
"85P";"2018-W47";354
"85P";"2018-W48";380
"85P";"2018-W49";390
"85P";"2018-W50";379
"85P";"2018-W51";376
"85P";"2018-W52";347
"85P";"2019-W01";403
"85P";"2019-W02";431
"85P";"2019-W03";414
"85P";"2019-W04";387
"85P";"2019-W05";446
"85P";"2019-W06";463
"85P";"2019-W07";459
"85P";"2019-W08";398
"85P";"2019-W09";403
"85P";"2019-W10";360
"85P";"2019-W11";399
"85P";"2019-W12";387
"85P";"2019-W13";378
"85P";"2019-W14";399
"85P";"2019-W15";345
"85P";"2019-W16";396
"85P";"2019-W17";380
"85P";"2019-W18";404
"85P";"2019-W19";350
"85P";"2019-W20";350
"85P";"2019-W21";341
"85P";"2019-W22";383
"85P";"2019-W23";352
"85P";"2019-W24";351
"85P";"2019-W25";372
"85P";"2019-W26";356
"85P";"2019-W27";315
"85P";"2019-W28";345
"85P";"2019-W29";369
"85P";"2019-W30";343
"85P";"2019-W31";324
"85P";"2019-W32";294
"85P";"2019-W33";339
"85P";"2019-W34";367
"85P";"2019-W35";347
"85P";"2019-W36";345
"85P";"2019-W37";344
"85P";"2019-W38";363
"85P";"2019-W39";374
"85P";"2019-W40";379
"85P";"2019-W41";367
"85P";"2019-W42";370
"85P";"2019-W43";362
"85P";"2019-W44";354
"85P";"2019-W45";373
"85P";"2019-W46";358
"85P";"2019-W47";371
"85P";"2019-W48";379
"85P";"2019-W49";393
"85P";"2019-W50";410
"85P";"2019-W51";397
"85P";"2019-W52";399
"85P";"2020-W01";430
"85P";"2020-W02";446
"85P";"2020-W03";403
"85P";"2020-W04";373
"85P";"2020-W05";380
"85P";"2020-W06";393
"85P";"2020-W07";392
"85P";"2020-W08";381
"85P";"2020-W09";390
"85P";"2020-W10";380
"85P";"2020-W11";365
"85P";"2020-W12";411
"85P";"2020-W13";418
"85P";"2020-W14";383
"85P";"2020-W15";402.2846
"85P";"2020-W16";386.4534
"85P";"2020-W17";374.9931
"85P";"2020-W18";410.8859
"85P";"2020-W19";364.7982
"85P";"2020-W20";334.2057
"85P";"2020-W21";370.0769
"85P";"2020-W22";346.156
"Total";"2014-W15";1062
"Total";"2014-W16";1055
"Total";"2014-W17";1041
"Total";"2014-W18";1033
"Total";"2014-W19";1060
"Total";"2014-W20";987
"Total";"2014-W21";1080
"Total";"2014-W22";936
"Total";"2014-W23";985
"Total";"2014-W24";986
"Total";"2014-W25";953
"Total";"2014-W26";1005
"Total";"2014-W27";969
"Total";"2014-W28";1020
"Total";"2014-W29";1002
"Total";"2014-W30";1067
"Total";"2014-W31";1058
"Total";"2014-W32";1035
"Total";"2014-W33";984
"Total";"2014-W34";996
"Total";"2014-W35";978
"Total";"2014-W36";1063
"Total";"2014-W37";1007
"Total";"2014-W38";1024
"Total";"2014-W39";944
"Total";"2014-W40";938
"Total";"2014-W41";939
"Total";"2014-W42";986
"Total";"2014-W43";976
"Total";"2014-W44";946
"Total";"2014-W45";1011
"Total";"2014-W46";1016
"Total";"2014-W47";1012
"Total";"2014-W48";1069
"Total";"2014-W49";1152
"Total";"2014-W50";1114
"Total";"2014-W51";1119
"Total";"2014-W52";1134
"Total";"2015-W01";1177
"Total";"2015-W02";1167
"Total";"2015-W03";1144
"Total";"2015-W04";1105
"Total";"2015-W05";1116
"Total";"2015-W06";1173
"Total";"2015-W07";1163
"Total";"2015-W08";1198
"Total";"2015-W09";1231
"Total";"2015-W10";1262
"Total";"2015-W11";1235
"Total";"2015-W12";1125
"Total";"2015-W13";1147
"Total";"2015-W14";1085
"Total";"2015-W15";1122
"Total";"2015-W16";1097
"Total";"2015-W17";985
"Total";"2015-W18";1050
"Total";"2015-W19";1022
"Total";"2015-W20";967
"Total";"2015-W21";1023
"Total";"2015-W22";1027
"Total";"2015-W23";1008
"Total";"2015-W24";1075
"Total";"2015-W25";960
"Total";"2015-W26";945
"Total";"2015-W27";995
"Total";"2015-W28";1001
"Total";"2015-W29";972
"Total";"2015-W30";1009
