"group";"ISOweek";"N"
"00to14";"2015-W43";959950.285714286
"00to14";"2015-W44";960090.857142857
"00to14";"2015-W45";960062
"00to14";"2015-W46";960158.857142857
"00to14";"2015-W47";960191.857142857
"00to14";"2015-W48";960287.142857143
"00to14";"2015-W49";960335.428571429
"00to14";"2015-W50";960375.285714286
"00to14";"2015-W51";960488.285714286
"00to14";"2015-W52";960447.714285714
"00to14";"2015-W53";960242.571428571
"00to14";"2016-W01";960029.285714286
"00to14";"2016-W02";959933.285714286
"00to14";"2016-W03";959865
"00to14";"2016-W04";959814.857142857
"00to14";"2016-W05";959897.857142857
"00to14";"2016-W06";959870
"00to14";"2016-W07";959928
"00to14";"2016-W08";959994
"00to14";"2016-W09";960042.142857143
"00to14";"2016-W10";959994.571428571
"00to14";"2016-W11";960022
"00to14";"2016-W12";960047.142857143
"00to14";"2016-W13";959943.571428571
"00to14";"2016-W14";959817.285714286
"00to14";"2016-W15";959776.714285714
"00to14";"2016-W16";959783.285714286
"00to14";"2016-W17";959759.714285714
"00to14";"2016-W18";959523.714285714
"00to14";"2016-W19";959530
"00to14";"2016-W20";959470.571428571
"00to14";"2016-W21";959436
"00to14";"2016-W22";959547
"00to14";"2016-W23";959561.857142857
"00to14";"2016-W24";959539.714285714
"00to14";"2016-W25";959560
"00to14";"2016-W26";959742.571428571
"00to14";"2016-W27";959711.142857143
"00to14";"2016-W28";959959.428571429
"00to14";"2016-W29";960134.714285714
"00to14";"2016-W30";960269.857142857
"00to14";"2016-W31";960441.142857143
"00to14";"2016-W32";960423.142857143
"00to14";"2016-W33";960511.714285714
"00to14";"2016-W34";960529.285714286
"00to14";"2016-W35";960732.857142857
"00to14";"2016-W36";960699
"00to14";"2016-W37";960858.285714286
"00to14";"2016-W38";960888.142857143
"00to14";"2016-W39";960993.428571429
"00to14";"2016-W40";960984.857142857
"00to14";"2016-W41";961098.714285714
"00to14";"2016-W42";961143.285714286
"00to14";"2016-W43";961167
"00to14";"2016-W44";961282.714285714
"00to14";"2016-W45";961240.285714286
"00to14";"2016-W46";961307
"00to14";"2016-W47";961271.857142857
"00to14";"2016-W48";961300.285714286
"00to14";"2016-W49";961300.428571429
"00to14";"2016-W50";961325.714285714
"00to14";"2016-W51";961305.428571429
"00to14";"2016-W52";961267.142857143
"00to14";"2017-W01";961002.428571429
"00to14";"2017-W02";960955.857142857
"00to14";"2017-W03";960878.714285714
"00to14";"2017-W04";960848.714285714
"00to14";"2017-W05";960930.285714286
"00to14";"2017-W06";960889.857142857
"00to14";"2017-W07";960910.571428571
"00to14";"2017-W08";960820.142857143
"00to14";"2017-W09";960759.857142857
"00to14";"2017-W10";960581.428571429
"00to14";"2017-W11";960532.714285714
"00to14";"2017-W12";960426.142857143
"00to14";"2017-W13";960388.142857143
"00to14";"2017-W14";960228.428571429
"00to14";"2017-W15";960169.285714286
"00to14";"2017-W16";960029.714285714
"00to14";"2017-W17";959993.142857143
"00to14";"2017-W18";959786
"00to14";"2017-W19";959653.857142857
"00to14";"2017-W20";959654.857142857
"00to14";"2017-W21";959743.714285714
"00to14";"2017-W22";959983.857142857
"00to14";"2017-W23";959994.857142857
"00to14";"2017-W24";960088.857142857
"00to14";"2017-W25";960071.571428571
"00to14";"2017-W26";960160
"00to14";"2017-W27";960089.857142857
"00to14";"2017-W28";960148.142857143
"00to14";"2017-W29";960148.714285714
"00to14";"2017-W30";960182.857142857
"00to14";"2017-W31";960246
"00to14";"2017-W32";960159.571428571
"00to14";"2017-W33";960223.142857143
"00to14";"2017-W34";960265.714285714
"00to14";"2017-W35";960295.285714286
"00to14";"2017-W36";960146
"00to14";"2017-W37";960108
"00to14";"2017-W38";960046.714285714
"00to14";"2017-W39";960158
"00to14";"2017-W40";960059.142857143
"00to14";"2017-W41";960138.285714286
"00to14";"2017-W42";960120.714285714
"00to14";"2017-W43";960103.571428571
"00to14";"2017-W44";960150.857142857
"00to14";"2017-W45";960087.428571429
"00to14";"2017-W46";960106.428571429
"00to14";"2017-W47";960086
"00to14";"2017-W48";960149.571428571
"00to14";"2017-W49";960084
"00to14";"2017-W50";960092.428571429
"00to14";"2017-W51";960169.142857143
"00to14";"2017-W52";960195.571428571
"00to14";"2018-W01";959926.142857143
"00to14";"2018-W02";959893.428571429
"00to14";"2018-W03";959967.142857143
"00to14";"2018-W04";959993.857142857
"00to14";"2018-W05";959930
"00to14";"2018-W06";959742.571428571
"00to14";"2018-W07";959744.142857143
"00to14";"2018-W08";959752.571428571
"00to14";"2018-W09";959737.142857143
"00to14";"2018-W10";959563.285714286
"00to14";"2018-W11";959531.428571429
"00to14";"2018-W12";959530.571428571
"00to14";"2018-W13";959535.571428571
"00to14";"2018-W14";959302.571428571
"00to14";"2018-W15";959255
"00to14";"2018-W16";959202.142857143
"00to14";"2018-W17";959206.571428571
"00to14";"2018-W18";959096.857142857
"00to14";"2018-W19";958976.571428571
"00to14";"2018-W20";958874.857142857
"00to14";"2018-W21";958809.857142857
"00to14";"2018-W22";958933.142857143
"00to14";"2018-W23";958895.714285714
"00to14";"2018-W24";958976.428571429
"00to14";"2018-W25";958991.428571429
"00to14";"2018-W26";959109
"00to14";"2018-W27";958872.142857143
"00to14";"2018-W28";958964.285714286
"00to14";"2018-W29";958955.857142857
"00to14";"2018-W30";958868.142857143
"00to14";"2018-W31";958896.285714286
"00to14";"2018-W32";958753.714285714
"00to14";"2018-W33";958758.428571429
"00to14";"2018-W34";958659.714285714
"00to14";"2018-W35";958612
"00to14";"2018-W36";958390.285714286
"00to14";"2018-W37";958311.857142857
"00to14";"2018-W38";958175.285714286
"00to14";"2018-W39";958105.428571429
"00to14";"2018-W40";957969.285714286
"00to14";"2018-W41";957735.714285714
"00to14";"2018-W42";957691.714285714
"00to14";"2018-W43";957552.285714286
"00to14";"2018-W44";957514
"00to14";"2018-W45";957359.428571429
"00to14";"2018-W46";957264.714285714
"00to14";"2018-W47";957151
"00to14";"2018-W48";957133.142857143
"00to14";"2018-W49";957008
"00to14";"2018-W50";957013.142857143
"00to14";"2018-W51";957016.857142857
"00to14";"2018-W52";957000.571428571
"00to14";"2019-W01";956683.142857143
"00to14";"2019-W02";956510
"00to14";"2019-W03";956354.714285714
"00to14";"2019-W04";956229.571428571
"00to14";"2019-W05";956201.857142857
"00to14";"2019-W06";956070.857142857
"00to14";"2019-W07";955950
"00to14";"2019-W08";955787.142857143
"00to14";"2019-W09";955639
"00to14";"2019-W10";955398.142857143
"00to14";"2019-W11";955302.714285714
"00to14";"2019-W12";955146
"00to14";"2019-W13";955019.428571429
"00to14";"2019-W14";954931.714285714
"00to14";"2019-W15";954787
"00to14";"2019-W16";954693.571428571
"00to14";"2019-W17";954578.857142857
"00to14";"2019-W18";954560
"00to14";"2019-W19";954396.571428571
"00to14";"2019-W20";954372.428571429
"00to14";"2019-W21";954307
"00to14";"2019-W22";954366.714285714
"00to14";"2019-W23";954319.142857143
"00to14";"2019-W24";954270.285714286
"00to14";"2019-W25";954267.428571429
"00to14";"2019-W26";954328.142857143
"00to14";"2019-W27";954361.142857143
"00to14";"2019-W28";954229
"00to14";"2019-W29";954264.571428571
"00to14";"2019-W30";954248
"00to14";"2019-W31";954279.428571429
"00to14";"2019-W32";954058.142857143
"00to14";"2019-W33";954032.857142857
"00to14";"2019-W34";953987
"00to14";"2019-W35";954107.571428571
"00to14";"2019-W36";953938.571428571
"00to14";"2019-W37";953941.285714286
"00to14";"2019-W38";953967
"00to14";"2019-W39";954040.428571429
"00to14";"2019-W40";954154.285714286
"00to14";"2019-W41";954057.428571429
"00to14";"2019-W42";954072.857142857
"00to14";"2019-W43";953970.714285714
"00to14";"2019-W44";953912.857142857
"00to14";"2019-W45";953741.428571429
"00to14";"2019-W46";953654.285714286
"00to14";"2019-W47";953571
"00to14";"2019-W48";953552.285714286
"00to14";"2019-W49";953438.428571429
"00to14";"2019-W50";953305.571428571
"00to14";"2019-W51";953269.571428571
"00to14";"2019-W52";953086.857142857
"00to14";"2020-W01";952776.285714286
"00to14";"2020-W02";952543.142857143
"00to14";"2020-W03";952477.714285714
"00to14";"2020-W04";952265.285714286
